"Frequency [Hz]","Pist 10s again 2 [dBZ SPL]"
0,103.126
0.1,97.098
0.2,51.81
0.3,41.092
0.4,42.918
0.5,41.646
0.6,41.122
0.7,43.007
0.8,40.722
0.9,41.767
1,38.663
1.1,41.774
1.2,39.552
1.3,42.458
1.4,37.08
1.5,44.497
1.6,37.777
1.7,45.421
1.8,37.887
1.9,46.297
2,38.763
2.1,46.628
2.2,44.494
2.3,44.503
2.4,45.737
2.5,45.27
2.6,44.819
2.7,44.692
2.8,43.603
2.9,41.267
3,41.753
3.1,39.228
3.2,38.594
3.3,36.195
3.4,36.039
3.5,33.253
3.6,31.21
3.7,27.922
3.8,25.922
3.9,22.761
4,21.925
4.1,23.704
4.2,14.683
4.3,17.506
4.4,15.817
4.5,20.88
4.6,15.346
4.7,19.481
4.8,21.357
4.9,10.648
5,13.369
5.1,19.678
5.2,25.073
5.3,20.824
5.4,20.272
5.5,9.737
5.6,26.621
5.7,26.72
5.8,21.432
5.9,18.979
6,24.172
6.1,27.172
6.2,17.603
6.3,23.691
6.4,26.853
6.5,19.551
6.6,18.816
6.7,23.144
6.8,23.394
6.9,25.438
7,23.196
7.1,23.113
7.2,10.384
7.3,20.128
7.4,15.609
7.5,25.185
7.6,17.014
7.7,14.305
7.8,9.006
7.9,8.453
8,17.269
8.1,19.299
8.2,21.741
8.3,16.628
8.4,22.303
8.5,26.28
8.6,25.029
8.7,21.469
8.8,18.665
8.9,20.709
9,6.571
9.1,16.654
9.2,21.587
9.3,25.665
9.4,22.793
9.5,17.308
9.6,20.95
9.7,17.266
9.8,19.719
9.9,8.405
10,21.527
10.1,23.105
10.2,26.008
10.3,27.018
10.4,26.152
10.5,20.193
10.6,23.075
10.7,21.633
10.8,22.543
10.9,19.31
11,6.941
11.1,17.469
11.2,20.929
11.3,21.24
11.4,20.282
11.5,10.015
11.6,15.625
11.7,11.281
11.8,6.878
11.9,12.673
12,17.968
12.1,19.944
12.2,20.89
12.3,21.174
12.4,19.228
12.5,11.078
12.6,16.696
12.7,22.661
12.8,21.043
12.9,22.036
13,23.738
13.1,15.983
13.2,15.617
13.3,14.414
13.4,16.888
13.5,20.599
13.6,20.084
13.7,17.463
13.8,15.467
13.9,21.03
14,13.805
14.1,18.625
14.2,23.28
14.3,14.147
14.4,27.02
14.5,26.182
14.6,0.13
14.7,24.566
14.8,25.765
14.9,25.383
15,17.955
15.1,23.733
15.2,5.205
15.3,20.069
15.4,28.465
15.5,18.167
15.6,20.28
15.7,16.137
15.8,27.704
15.9,27.557
16,25.724
16.1,25.626
16.2,21.222
16.3,14.102
16.4,27.857
16.5,28.25
16.6,25.613
16.7,28.734
16.8,29.716
16.9,30.666
17,24.528
17.1,16.164
17.2,11.14
17.3,17.41
17.4,22.176
17.5,20.578
17.6,16.355
17.7,22.191
17.8,25.593
17.9,21.525
18,10.51
18.1,17.937
18.2,12.752
18.3,17.184
18.4,15.151
18.5,18.202
18.6,19.898
18.7,17.353
18.8,17.743
18.9,15.935
19,15.527
19.1,15.153
19.2,14.003
19.3,14.758
19.4,10.686
19.5,12.602
19.6,9.145
19.7,5.817
19.8,11.879
19.9,10.022
20,12.064
